rank,romaji_title,english_title,native_title,description,genres,tags,popularity,average_score,favourites,trending,chapters,volumes,format,status,source,start_date,end_date,external_links,semantic_text,word_count
3037,"A Haseyo, Geumsujeo Deureogamnida",Here Comes the Silver Spoon!,"아 하세요, 금수저 들어갑니다","Adelaide Sergio never knew luxury until she was reborn as a wealthy count’s daughter. She was set to inherit the family estate, but her scheming sister’s sudden engagement has thrown everything off. With just two weeks to find a husband, Adele turns to the temple in search of a holy knight, only to find that their commander is the perfect man! He’s handsome, respectable… and completely uninterested. Can Adele win over the cold commander in time, or will the silver spoon be yanked from her mouth? (Source: Tapas)","Drama, Fantasy, Romance","Isekai, Female Protagonist, Historical, Full Color, Reincarnation, Politics, Royal Affairs",3455,72,88,3,128.0,,MANGA,FINISHED,OTHER,2021-06-14,2025-02-25,KakaoPage: https://page.kakao.com/home?seriesId=57260192 | Tapas: https://tapas.io/series/here-comes-the-silver-spoon/info | Kakao Webtoon: https://th.kakaowebtoon.com/content/อ้าปากสิคะ_เดี๋ยวฉันป้อนด้วยช้อนทอง/228,"A Haseyo, Geumsujeo Deureogamnida is a drama  fantasy  romance manga. It includes themes like isekai  female protagonist  historical  full color  reincarnation  politics  royal affairs. Adelaide Sergio never knew luxury until she was reborn as a wealthy count’s daughter. She was set to inherit the family estate, but her scheming sister’s sudden engagement has thrown everything off. With just two weeks to find a husband, Adele turns to the temple in search of a holy knight, only to find that their commander is the perfect man! He’s handsome, respectable… and completely uninterested. Can Adele win over the cold commander in time, or will the silver spoon be yanked from her mouth? ( Also known as: Here Comes the Silver Spoon!. Also known as: 아 하세요, 금수저 들어갑니다.",126
3040,Jaebeoljip Mangnaeadeul,Reborn Rich,재벌집 막내아들,"After thirteen years as a loyal employee of the Soonyang Group, South Korea’s largest business empire, Hyeon-U is rewarded with betrayal–and murdered–by his employers! Miraculously, he’s given a second chance, reborn back in time as Dojun Jin, grandson of the founder of the corporate dynasty that betrayed him. In a daring quest to rewrite destiny, he will not only attempt to settle the score; he will aim for the ultimate hostile takeover. (Source: Seven Seas Entertainment, edited)",Drama,"Economics, Long Strip, Full Color, Revenge, Male Protagonist, Urban, Politics, Time Manipulation",3453,75,111,2,,,MANGA,RELEASING,OTHER,2022-09-28,,Webtoons: https://www.webtoons.com/th/drama/reborn-rich/list?title_no=4861 | Webtoons: https://www.webtoons.com/en/drama/reborn-rich/list?title_no=4956 | Naver Webtoon: https://comic.naver.com/webtoon/list?titleId=800770 | Naver Series: https://series.naver.com/comic/detail.series?productNo=8921276 | Dongman Manhua: https://www.dongmanmanhua.cn/BOY/caifajiadexiaoerzi/list?title_no=2262 | Webtoons: https://www.webtoons.com/zh-hant/adaptation/reborn-rich/list?title_no=4922 | Seven Seas Entertainment: https://sevenseasentertainment.com/series/reborn-rich-comic/ | Webtoons: https://www.webtoons.com/fr/drama/reborn-rich/list?title_no=7231,"Jaebeoljip Mangnaeadeul is a drama manga. It includes themes like economics  long strip  full color  revenge  male protagonist  urban  politics  time manipulation. After thirteen years as a loyal employee of the Soonyang Group, South Korea’s largest business empire, Hyeon-U is rewarded with betrayal–and murdered–by his employers! Miraculously, he’s given a second chance, reborn back in time as Dojun Jin, grandson of the founder of the corporate dynasty that betrayed him. In a daring quest to rewrite destiny, he will not only attempt to settle the score; he will aim for the ultimate hostile takeover. ( Also known as: Reborn Rich. Also known as: 재벌집 막내아들.",105
3044,Chao Shen Chong Shou Dian,Astral Pet Store,超神宠兽店,"In the era of astral pets, only the might of pets was essential! However, making the pets stronger has always been a slow and arduous process for pet warriors. That was until the appearance of a mysterious pet shop that changed everything! The weakest skeleton could slay a great golden dragon with a single strike after training at this pet shop! Even the humble watchdog of the shop possessed ten legendary skills, and the female worker in the shop claimed to be a Goddess... As for what the shopkeeper Su Ping thinks: I'm merely training these cute pets to become exceptional overlord beasts. What? Is it not normal? (Source: Webnovel, translated)","Action, Drama, Fantasy","Full Color, Male Protagonist, Animals",3451,70,140,0,,,MANGA,RELEASING,OTHER,2022-08-12,,KuaiKan Manhua: https://www.kuaikanmanhua.com/web/topic/16192/ | Tencent Comics: https://ac.qq.com/Comic/ComicInfo/id/652762 | Webnovel: https://www.webnovel.com/comic/astral-pet-store_24751317505732701 | iQIYI: https://www.iqiyi.com/manhua/detail_1xpubg2bjud.html | Bilibili: https://manga.bilibili.com/detail/mc32436,"Chao Shen Chong Shou Dian is a action  drama  fantasy manga. It includes themes like full color  male protagonist  animals. In the era of astral pets, only the might of pets was essential! However, making the pets stronger has always been a slow and arduous process for pet warriors. That was until the appearance of a mysterious pet shop that changed everything! The weakest skeleton could slay a great golden dragon with a single strike after training at this pet shop! Even the humble watchdog of the shop possessed ten legendary skills, and the female worker in the shop claimed to be a Goddess... As for what the shopkeeper Su Ping thinks: I'm merely training these cute pets to become exceptional overlord beasts. What? Is it not normal? ( Also known as: Astral Pet Store. Also known as: 超神宠兽店.",139
3048,I Hunter Silhwanya?,Monster Streamer for Gods,이 헌터 실화냐?,"In Gang-Sik Choi’s world, monster attacks are a common occurrence. Humanity is protected by hunters with superpowers who stream their fights online, and it is Gang-Sik’s job to get it all on camera as the cameraman for a below-average monster streamer. In a stream gone wrong, he suddenly finds himself in front of the camera… but human viewers aren’t the only ones watching him. Now, he is a streamer for the Gods, and more viewers mean more power. With monsters at every turn, how long can Gang-Sik keep the cameras rolling? (Source: Tapas, edited)","Action, Adventure, Fantasy","Full Color, Male Protagonist, Magic, Super Power, Urban Fantasy, 4-koma, Post-Apocalyptic",3442,64,54,0,,,MANGA,RELEASING,OTHER,2022-04-20,,KakaoPage: https://page.kakao.com/home?seriesId=59065221 | Kakao Webtoon: https://webtoon.kakao.com/content/이-헌터-실화냐/2833 | Tapas: https://tapas.io/series/monster-streamer-for-gods/info,"I Hunter Silhwanya? is a action  adventure  fantasy manga. It includes themes like full color  male protagonist  magic  super power  urban fantasy  4-koma  post-apocalyptic. In Gang-Sik Choi’s world, monster attacks are a common occurrence. Humanity is protected by hunters with superpowers who stream their fights online, and it is Gang-Sik’s job to get it all on camera as the cameraman for a below-average monster streamer. In a stream gone wrong, he suddenly finds himself in front of the camera… but human viewers aren’t the only ones watching him. Now, he is a streamer for the Gods, and more viewers mean more power. With monsters at every turn, how long can Gang-Sik keep the cameras rolling? ( Also known as: Monster Streamer for Gods. Also known as: 이 헌터 실화냐?.",129
3052,Shinsekai yori,From the New World,新世界より,"About one thousand years into the future, civilization has been retrograded and humans are living dispersed within small communities. People in this era have a psychic power called ""Juryoku"" which materializes things they imagine. In the absence of advanced scientific technology, people are using this power as a major source of energy. One day, a girl called Saki, along with her friends, finds a small archive robot outside the town. It records the ancient history of humans. It tells them that Juryoku was found in the 21st century and the discovery caused a world war between psychics and non-psychics. The psychics won this war and thus their reign of terror began. When the adults in town figure out that the children discovered this forbidden knowledge, they seal their Juryoku and exile them. Saki and the others end up in a forest where they meet a huge hairless bipedal mouse known as a ""Bakenezumi"" and get involved in a violent war the creatures are currently engaged in.","Adventure, Ecchi, Fantasy, Sci-Fi","Dystopian, Super Power, Female Protagonist, Bisexual, Nudity, Yuri, Time Skip, Slavery, Memory Manipulation, Revenge, LGBTQ+ Themes, Rural, Coming of Age, War, Tragedy, Ghost, Shounen",3441,64,39,0,27.0,7.0,MANGA,FINISHED,OTHER,2012-05-09,2014-06-09,,"Shinsekai yori is a adventure  ecchi  fantasy  sci-fi manga. It includes themes like dystopian  super power  female protagonist  bisexual  nudity  yuri  time skip  slavery  memory manipulation  revenge  lgbtq+ themes  rural  coming of age  war  tragedy  ghost  shounen. About one thousand years into the future, civilization has been retrograded and humans are living dispersed within small communities. People in this era have a psychic power called ""Juryoku"" which materializes things they imagine. In the absence of advanced scientific technology, people are using this power as a major source of energy. One day, a girl called Saki, along with her friends, finds a small archive robot outside the town. It records the ancient history of humans. It tells them that Juryoku was found in the 21st century and the discovery caused a world war between psychics and non-psychics. The psychics won this war and thus their reign of terror began. When the adults in town figure out that the children discovered this forbidden knowledge, they seal their Juryoku and exile them. Saki and the others end up in a forest where they meet a huge hairless bipedal mouse known as a ""Bakenezumi"" and get involved in a violent war the creatures are currently engaged in. Also known as: From the New World. Also known as: 新世界より.",214
3054,Maedodanghago Sipeun Elf-nim,Punishing My Pet Slave ELF,매도당하고 싶은 엘프님,"""What?! You bought an Elf?!"" A wealthy lord buys an Elf to be used as his sex slave, however, he had no idea how dangerous it could be... Will he ever be able to satisfy this perverted Elf?(Source: TOPTOON+)","Drama, Fantasy, Hentai, Romance","Large Breasts, Heterosexual, Nudity, Masochism, Maids, Love Triangle, Full Color, Elf, Male Protagonist, Slavery, Primarily Adult Cast, Fellatio, Defloration, Human Pet, Witch, Masturbation, Politics, Virginity, Nakadashi, Public Sex, Tentacles, Boobjob, Watersports, Squirting",3439,69,139,1,92.0,,MANGA,FINISHED,OTHER,2021-12-06,2024-07-06,TOPTOON: https://toptoon.com/comic/ep_list/Revile_Elf | DAYcomics: https://daycomics.com/comic/100899 | TOPTOON: https://www.toptoon.net/comic/epList/80977 | TOPTOON: https://toptoon.jp/content/虐げられたいエルフ様/100899,"Maedodanghago Sipeun Elf-nim is a drama  fantasy  hentai  romance manga. It includes themes like large breasts  heterosexual  nudity  masochism  maids  love triangle  full color  elf  male protagonist  slavery  primarily adult cast  fellatio  defloration  human pet  witch  masturbation  politics  virginity  nakadashi  public sex  tentacles  boobjob  watersports  squirting. ""What?! You bought an Elf?!"" A wealthy lord buys an Elf to be used as his sex slave, however, he had no idea how dangerous it could be... Will he ever be able to satisfy this perverted Elf?( Also known as: Punishing My Pet Slave ELF. Also known as: 매도당하고 싶은 엘프님.",98
3064,Quanzhi Gaoshou,The King's Avatar,全职高手,"In the multiplayer online game Glory, Ye Xiu, is well known as the Textbook level expert and a top-tier player. Due to a series of circumstances, he was forcefully expelled out of his professional team. After leaving the pro gaming scene, he resides at an Internet Café employed as one of the managers. When Glory launches the tenth server, he throws himself into the game once more, equipped with ten years of gaming experience, memories of the past and an incomplete self-made weapon. His journey back to the top begins. After plotting and scheming, who took away my glory? Under the influence of the storm, my hopes will never be shattered. In its magnificence, the path will not be lost, for I, will return! The manhua is based on the popular Quan Zhi Gao Shou novel by Butterfly Blue. The manhua is currently serialized digitally in Da Jiao Chong’s mobile application and is released on a weekly basis.","Action, Adventure, Comedy, Fantasy","Video Games, Male Protagonist, Virtual World, Magic, E-Sports",3427,73,71,0,197.0,,MANGA,CANCELLED,OTHER,2015-09-10,2018-08-26,MangaToon: https://mangatoon.mobi/en/detail/2023,"Quanzhi Gaoshou is a action  adventure  comedy  fantasy manga. It includes themes like video games  male protagonist  virtual world  magic  e-sports. In the multiplayer online game Glory, Ye Xiu, is well known as the Textbook level expert and a top-tier player. Due to a series of circumstances, he was forcefully expelled out of his professional team. After leaving the pro gaming scene, he resides at an Internet Café employed as one of the managers. When Glory launches the tenth server, he throws himself into the game once more, equipped with ten years of gaming experience, memories of the past and an incomplete self-made weapon. His journey back to the top begins. After plotting and scheming, who took away my glory? Under the influence of the storm, my hopes will never be shattered. In its magnificence, the path will not be lost, for I, will return! The manhua is based on the popular Quan Zhi Gao Shou novel by Butterfly Blue. The manhua is currently serialized digitally in Da Jiao Chong’s mobile application and is released on a weekly basis. Also known as: The King's Avatar. Also known as: 全职高手.",189
3073,Baby Pokgun,Baby Tyrant,베이비 폭군 ,"Gyeoul Yoon is no stranger to tragedy, having lost everything -- even her life -- because of her good-for-nothing father. When she reawakens after death, Gyeoul finds herself in the body of a newborn baby -- she is now Princess Mabel of the powerful Ermaneau Empire! With her doting new family and the empire’s might at her disposal, Mabel has everything she’s ever wanted. Upon learning that she’s the subject of a prophecy with the world’s salvation at stake, Mabel quickly realizes that there are people who will stop at nothing to destroy her newfound peace.(Source: WEBTOONS)","Fantasy, Romance","Kingdom Management, Magic, Family Life, Politics, Parenthood, Ensemble Cast, Matriarchy, Full Color, Reincarnation, Female Protagonist, Royal Affairs, Animals, Time Skip, Male Protagonist, POV, Long Strip, Isekai, Religion, Espionage, Male Harem",3418,71,95,3,,,MANGA,RELEASING,OTHER,2023-02-28,,Naver Series: https://series.naver.com/comic/detail.series?productNo=9460685 | Naver Webtoon: https://comic.naver.com/webtoon/list?titleId=807019 | Webtoons: https://www.webtoons.com/en/fantasy/baby-tyrant/list?title_no=5433 | Webtoons: https://www.webtoons.com/th/romantic-fantasy/tyrant-child/list?title_no=5323 | Webtoons: https://www.webtoons.com/fr/fantasy/bebe-tyran/list?title_no=5576,"Baby Pokgun is a fantasy  romance manga. It includes themes like kingdom management  magic  family life  politics  parenthood  ensemble cast  matriarchy  full color  reincarnation  female protagonist  royal affairs  animals  time skip  male protagonist  pov  long strip  isekai  religion  espionage  male harem. Gyeoul Yoon is no stranger to tragedy, having lost everything -- even her life -- because of her good-for-nothing father. When she reawakens after death, Gyeoul finds herself in the body of a newborn baby -- she is now Princess Mabel of the powerful Ermaneau Empire! With her doting new family and the empire’s might at her disposal, Mabel has everything she’s ever wanted. Upon learning that she’s the subject of a prophecy with the world’s salvation at stake, Mabel quickly realizes that there are people who will stop at nothing to destroy her newfound peace.( Also known as: Baby Tyrant. Also known as: 베이비 폭군 .",148
3090,Yong Heng Zhi Zun,,永恒至尊,"It has been a year since Li Fu Chen lost his “Talent”. Now he lives the life of a trash, being bullied and beaten by those who once was inferior to him. However, he still has not lost everything as he’s still engaged to a strong and pretty girl of a powerful family, but that came to an end as the engagement was abruptly cancelled. With shame brought to the family and his life engulfed by darkness, a ray of hope pierced the the sky.","Action, Adventure, Fantasy","Cultivation, Martial Arts, Full Color",3406,63,63,0,,,MANGA,RELEASING,OTHER,2017-01-01,,Official Site: https://manhua.163.com/source/4828421593230128690,"Yong Heng Zhi Zun is a action  adventure  fantasy manga. It includes themes like cultivation  martial arts  full color. It has been a year since Li Fu Chen lost his “Talent”. Now he lives the life of a trash, being bullied and beaten by those who once was inferior to him. However, he still has not lost everything as he’s still engaged to a strong and pretty girl of a powerful family, but that came to an end as the engagement was abruptly cancelled. With shame brought to the family and his life engulfed by darkness, a ray of hope pierced the the sky. Also known as: nan. Also known as: 永恒至尊.",112
3095,Sarinma Lewellyn-ssi-ui Nangmanjeogin Jeongchan,Murderous Lewellyn’s Candlelit Dinner,살인마 르웰린 씨의 낭만적인 정찬,"Life on rough, rundown Ira Street isn’t easy at the best of times, but a recent string of murders has left the residents traumatized. Not Shavonne, though. He’s too busy trying to get by to worry about some murderer. However, that all changes when he meets his peculiar new neighbor. Lewellyn is young and handsome, yet eccentric. Why does he spend all day peeling onions on the apartment stairs until his eyes are red-raw? And what’s with those filthy black fingernails? Nevertheless, Shavonne reluctantly accepts a dinner invitation at his neighbor’s place. But after he makes a gruesome discovery during the candlelit meal, suddenly the murders feel a lot closer to home… (Source: Lezhin)","Mystery, Romance, Thriller","Tragedy, Foreign, Male Protagonist, Primarily Male Cast, Crime, Boys' Love, Amnesia, Writing, Primarily Adult Cast, Orphan, Full Color, Assassins, Prison, Work, Historical, Fugitive, Cohabitation, Drugs",3401,79,267,0,90.0,6.0,MANGA,FINISHED,OTHER,2020-06-25,2022-02-24,Lezhin: https://www.lezhin.com/en/comic/lewellyn | Yen Press: https://yenpress.com/series/murderous-lewellyn-s-candlelit-dinner,"Sarinma Lewellyn-ssi-ui Nangmanjeogin Jeongchan is a mystery  romance  thriller manga. It includes themes like tragedy  foreign  male protagonist  primarily male cast  crime  boys' love  amnesia  writing  primarily adult cast  orphan  full color  assassins  prison  work  historical  fugitive  cohabitation  drugs. Life on rough, rundown Ira Street isn’t easy at the best of times, but a recent string of murders has left the residents traumatized. Not Shavonne, though. He’s too busy trying to get by to worry about some murderer. However, that all changes when he meets his peculiar new neighbor. Lewellyn is young and handsome, yet eccentric. Why does he spend all day peeling onions on the apartment stairs until his eyes are red-raw? And what’s with those filthy black fingernails? Nevertheless, Shavonne reluctantly accepts a dinner invitation at his neighbor’s place. But after he makes a gruesome discovery during the candlelit meal, suddenly the murders feel a lot closer to home… ( Also known as: Murderous Lewellyn’s Candlelit Dinner. Also known as: 살인마 르웰린 씨의 낭만적인 정찬.",167
3106,Kyuuseishu ≪Messiah≫: Isekai wo Sukutta Moto Yuusha ga Mamono no Afureru Genjitsu Sekai wo Musou Suru,,救世主≪メシア≫～異世界を救った元勇者が魔物のあふれる現実世界を無双する～,"The ""former"" savior, Takeru Yamato, was summoned to another world and executed because of his strength. When he wakes up, he finds himself in Japan, where he spent time before being summoned. However, in the city, demons appearing from ""gates"" rampage, and those called hunters fight using magic. Returning from another world, Takeru decides to hide his powers and live, but...","Action, Comedy, Drama, Fantasy, Romance","Reincarnation, Isekai, Magic, Urban Fantasy, Tragedy, Seinen, Male Protagonist, Body Swapping, Demons, Conspiracy, School",3395,63,60,0,,,MANGA,RELEASING,OTHER,2022-09-20,,Tonari no Young Jump: https://tonarinoyj.jp/episode/316112896809499276,"Kyuuseishu ≪Messiah≫: Isekai wo Sukutta Moto Yuusha ga Mamono no Afureru Genjitsu Sekai wo Musou Suru is a action  comedy  drama  fantasy  romance manga. It includes themes like reincarnation  isekai  magic  urban fantasy  tragedy  seinen  male protagonist  body swapping  demons  conspiracy  school. The ""former"" savior, Takeru Yamato, was summoned to another world and executed because of his strength. When he wakes up, he finds himself in Japan, where he spent time before being summoned. However, in the city, demons appearing from ""gates"" rampage, and those called hunters fight using magic. Returning from another world, Takeru decides to hide his powers and live, but... Also known as: nan. Also known as: 救世主≪メシア≫～異世界を救った元勇者が魔物のあふれる現実世界を無双する～.",111
3108,Eonniga Namja Juingongeul Juwo Watda,My Sister Picked Up The Male Lead,언니가 남자 주인공을 주워 왔다,"Amy is currently living a pleasant life as a character in a novel she read in her previous life. She already knows how the story goes, so when her sister gifts her a strange boy she found in the Night Woods for her 16th birthday, she panics. He is none other than Lennox Iberich, the male lead who lost his memories. And now that they’ve met, Amy will either have to accept her own death that's been foretold or do what she can to change the ending of her story. (Source: Tappytoon)","Fantasy, Romance","Amnesia, Heterosexual, Reincarnation, Magic, Royal Affairs, Long Strip, Full Color, Age Regression, Female Protagonist, Isekai, Time Skip, Yandere, Curses",3394,63,40,0,,,MANGA,RELEASING,OTHER,2020-08-21,,KakaoPage: https://page.kakao.com/home?seriesId=55522808 | Tappytoon: https://www.tappytoon.com/en/book/my-sister-picked-up | Kakao Webtoon: https://tw.kakaowebtoon.com/content/姐姐把男主角撿回家了/178 | Bilibili: https://manga.bilibili.com/detail/mc29417 | Tapas: https://tapas.io/series/my-sister-picked-up-the-male-lead/info | Kakao Webtoon: https://th.kakaowebtoon.com/content/เมื่อพี่สาวเก็บพระเอกมาฝาก/168?tab=episode | Lalatoon: https://lalatoon.com/en/webtoon/episode/toon/7004 | Delitoon: https://www.delitoon.de/detail/dad_0010071 | DAYcomics: https://daycomics.com/content/102561 | Lezhin: https://www.lezhinus.com/en/comic/sister_lead | Piccoma: https://jp.piccoma.com/web/product/55005 | Kakao Webtoon: https://webtoon.kakao.com/content/언니가-남자-주인공을-주워-왔다/2566 | Pocket Comics: https://www.pocketcomics.com/comic/7751?languageCode=en,"Eonniga Namja Juingongeul Juwo Watda is a fantasy  romance manga. It includes themes like amnesia  heterosexual  reincarnation  magic  royal affairs  long strip  full color  age regression  female protagonist  isekai  time skip  yandere  curses. Amy is currently living a pleasant life as a character in a novel she read in her previous life. She already knows how the story goes, so when her sister gifts her a strange boy she found in the Night Woods for her 16th birthday, she panics. He is none other than Lennox Iberich, the male lead who lost his memories. And now that they’ve met, Amy will either have to accept her own death that's been foretold or do what she can to change the ending of her story. ( Also known as: My Sister Picked Up The Male Lead. Also known as: 언니가 남자 주인공을 주워 왔다.",142
3121,Hwansaengpyosa,The Reincarnated Armed Escort,환생표사,"Although an old porter has shown great determination and loyalty to his escort agency, he is never given the chance to become an armed escort due to his bad leg. But after sacrificing his life to keep a priceless treasure from a group of bandits, he is reborn as the 22-year-old Li Zhenglong who died 30 years ago! Now, in the body of the fourth young master of the Heavenly Dragon Escort Agency, will he finally realize his dream? Or will Li Zhenglong's terrible reputation ruin it all?(Source: Tapas)","Action, Adventure, Fantasy","Full Color, Male Protagonist, Martial Arts, Reincarnation",3377,68,47,1,,,MANGA,RELEASING,OTHER,2022-07-28,,KakaoPage: https://page.kakao.com/home?seriesId=59787320 | Tapas: https://tapas.io/series/the-reincarnated-armed-escort/info | Kakao Webtoon: https://webtoon.kakao.com/content/환생표사/3946,"Hwansaengpyosa is a action  adventure  fantasy manga. It includes themes like full color  male protagonist  martial arts  reincarnation. Although an old porter has shown great determination and loyalty to his escort agency, he is never given the chance to become an armed escort due to his bad leg. But after sacrificing his life to keep a priceless treasure from a group of bandits, he is reborn as the 22-year-old Li Zhenglong who died 30 years ago! Now, in the body of the fourth young master of the Heavenly Dragon Escort Agency, will he finally realize his dream? Or will Li Zhenglong's terrible reputation ruin it all?( Also known as: The Reincarnated Armed Escort. Also known as: 환생표사.",117
3125,Bandeusi Happy Ending,There Must Be Happy Endings,반드시 해피엔딩,"The day Yeon-U’s contract marriage came to an end was also the day that she witnessed her soon-to-be ex-husband, Seon-Jae, die right in front of her eyes. But when a twist of fate has her travel 100 days back in time before the tragic accident, she decides to do everything she can to stop the accident from happening. With a second chance to make things right, Yeon-U is determined to make sure that, this time around, they get their happy ending. (Source: WEBTOONS, edited)","Drama, Romance","Full Color, Female Protagonist, Heterosexual, Primarily Adult Cast, Time Manipulation, Tragedy, Marriage, Long Strip",3376,72,106,0,112.0,,MANGA,FINISHED,OTHER,2021-04-23,2023-05-12,Naver Webtoon: https://comic.naver.com/webtoon/list.nhn?titleId=769568 | Naver Series: https://series.naver.com/comic/detail.nhn?productNo=6055435 | Webtoons: https://www.webtoons.com/en/romance/there-must-be-happy-endings/list?title_no=3065 | Webtoons: https://www.webtoons.com/fr/romance/there-must-be-happy-endings/list?title_no=3658 | Webtoons: https://www.webtoons.com/es/romance/there-must-be-happy-endings/list?title_no=4170 | Webtoons: https://www.webtoons.com/de/romance/there-must-be-happy-endings/list?title_no=3404 | Dongman Manhua: https://www.dongmanmanhua.cn/METROPOLIS/yidingyaohappyending/list?title_no=1659 | Webtoons: https://www.webtoons.com/zh-hant/romance/happyending/list?title_no=2830 | Webtoons: https://www.webtoons.com/th/romance/there-must-be-happy-endings/list?title_no=3152,"Bandeusi Happy Ending is a drama  romance manga. It includes themes like full color  female protagonist  heterosexual  primarily adult cast  time manipulation  tragedy  marriage  long strip. The day Yeon-U’s contract marriage came to an end was also the day that she witnessed her soon-to-be ex-husband, Seon-Jae, die right in front of her eyes. But when a twist of fate has her travel 100 days back in time before the tragic accident, she decides to do everything she can to stop the accident from happening. With a second chance to make things right, Yeon-U is determined to make sure that, this time around, they get their happy ending. ( Also known as: There Must Be Happy Endings. Also known as: 반드시 해피엔딩.",121
3128,Baeuroseo Salgetda,To Be an Actor,배우로서 살겠다,"To escape a life of poverty, Jang Youngkuk aspired to be a famous actor. And he succeeds... at the cost of his mother's life. Upon proceeding to take his own out of despair, Youngkuk miraculously returns to his childhood. With a second chance to make things right, he swears to abandon acting and be the good son he never was. However, when financial troubles begin to haunt Youngkuk and his mother, he discovers that he may have no choice but to return to the set for one last take. (Source: Tapas)","Drama, Slice of Life, Supernatural","Acting, Full Color, Male Protagonist, Time Manipulation, Age Regression, Primarily Male Cast",3375,76,153,3,,,MANGA,RELEASING,OTHER,2022-09-30,,KakaoPage: https://page.kakao.com/content/60269069?tab_type=about | Tapas: https://tapas.io/series/to-be-an-actor,"Baeuroseo Salgetda is a drama  slice of life  supernatural manga. It includes themes like acting  full color  male protagonist  time manipulation  age regression  primarily male cast. To escape a life of poverty, Jang Youngkuk aspired to be a famous actor. And he succeeds... at the cost of his mother's life. Upon proceeding to take his own out of despair, Youngkuk miraculously returns to his childhood. With a second chance to make things right, he swears to abandon acting and be the good son he never was. However, when financial troubles begin to haunt Youngkuk and his mother, he discovers that he may have no choice but to return to the set for one last take. ( Also known as: To Be an Actor. Also known as: 배우로서 살겠다.",128
3131,Useon Namdongsaengbuteo Sumgija,Let's Hide My Little Brother,우선 남동생부터 숨기자,"The fate of a girl in a BL novel is a tragic one. Girls are either vaguely helpful, evil, or add nothing to the plot. So what happens when you turn into the older sister of a BL novel protagonist? The older sister who dies a tragic death at the hands of a madman who’s infatuated with your younger brother? You go with your gut instinct: hide him. Hide your brother from everything, especially men, that could harm him and you. That’s the task that Kyla Vesta is set with in this life, and a task that she’s determined to complete. (Source: Lezhin)","Drama, Fantasy, Romance","Crossdressing, Magic, Full Color, Female Protagonist, College, Heterosexual, Isekai, Swordplay, Yandere, Demons, Bullying, Suicide, Twins, Fairy",3373,69,93,1,,,MANGA,RELEASING,OTHER,2021-08-16,,KakaoPage: https://page.kakao.com/home?seriesId=57492806 | Lezhin: https://www.lezhinus.com/en/comic/hide_brother | Delitoon: https://www.delitoon.com/detail/daf_1000554 | KuaiKan Manhua: https://www.kuaikanmanhua.com/web/topic/9813/ | Delitoon: https://www.delitoon.de/detail/dad_2000164 | Kakao Webtoon: https://webtoon.kakao.com/content/우선-남동생부터-숨기자/2649?tab=episode | Manta: https://manta.net/en/series/let-s-hide-my-little-brother?seriesId=3571,"Useon Namdongsaengbuteo Sumgija is a drama  fantasy  romance manga. It includes themes like crossdressing  magic  full color  female protagonist  college  heterosexual  isekai  swordplay  yandere  demons  bullying  suicide  twins  fairy. The fate of a girl in a BL novel is a tragic one. Girls are either vaguely helpful, evil, or add nothing to the plot. So what happens when you turn into the older sister of a BL novel protagonist? The older sister who dies a tragic death at the hands of a madman who’s infatuated with your younger brother? You go with your gut instinct: hide him. Hide your brother from everything, especially men, that could harm him and you. That’s the task that Kyla Vesta is set with in this life, and a task that she’s determined to complete. ( Also known as: Let's Hide My Little Brother. Also known as: 우선 남동생부터 숨기자.",145
3135,Virus Tensei kara Isekai Kansen Monogatari,It’s That Reincarnated-as-a-Virus Story,ウイルス転生から始まる異世界感染物語,"A virus researcher was reincarnated into another world...as the virus itself? The virus holds incredible power, but it's transmission may just be a matter of life or death!(Source: Kodansha USA)","Action, Adventure, Comedy, Fantasy","Pandemic, Isekai, Goblin, Shounen, Reincarnation, Magic, Gods",3369,68,67,0,,,MANGA,RELEASING,OTHER,2020-09-24,,Nico Nico Seiga: https://seiga.nicovideo.jp/comic/49920 | Official Site: https://magazine-edge.jp/contents/isekaikansen.html,"Virus Tensei kara Isekai Kansen Monogatari is a action  adventure  comedy  fantasy manga. It includes themes like pandemic  isekai  goblin  shounen  reincarnation  magic  gods. A virus researcher was reincarnated into another world...as the virus itself? The virus holds incredible power, but it's transmission may just be a matter of life or death!( Also known as: It’s That Reincarnated-as-a-Virus Story. Also known as: ウイルス転生から始まる異世界感染物語.",63
